title,year,country_or_region,language,genres,director,main_cast,awards,platforms,rating_score,popularity_score,themes,market_type
Red Sorghum,1987,China,Mandarin,Drama|Historical,Zhang Yimou,Gong Li,Berlin Golden Bear,Theatrical|Criterion Channel,8.2,73,memory|resistance|rural life,domestic
Raise the Red Lantern,1991,China,Mandarin,Drama|Historical,Zhang Yimou,Gong Li|He Caifei,Venice Silver Lion,Theatrical|Criterion Channel,8.1,71,patriarchy|power|ritual,festival
The Story of Qiu Ju,1992,China,Mandarin,Drama|Social Realism,Zhang Yimou,Gong Li,Venice Golden Lion,Theatrical|Criterion Channel,8.0,66,justice|bureaucracy|ordinary life,festival
Farewell My Concubine,1993,China,Mandarin,Drama|Historical|Queer Cinema,Chen Kaige,Leslie Cheung|Zhang Fengyi|Gong Li,Cannes Palme d'Or,Theatrical|MUBI,9.0,86,identity|performance|legacy,international
Chungking Express,1994,Hong Kong,Cantonese/Mandarin,Romance|Comedy|New Wave,Wong Kar-wai,Brigitte Lin|Takeshi Kaneshiro|Faye Wong|Tony Leung Chiu-wai,Hong Kong Film Awards (selected),Criterion Channel|Theatrical,8.6,82,urban loneliness|chance|desire,international
In the Heat of the Sun,1994,China,Mandarin,Coming-of-Age|Drama,Jiang Wen,Xia Yu|Wang Xueqi,,Theatrical|iQiyi,8.3,63,memory|youth|masculinity,domestic
Comrades: Almost a Love Story,1996,Hong Kong,Cantonese/Mandarin,Romance|Drama,Peter Chan,Maggie Cheung|Leon Lai|Eric Tsang,Hong Kong Film Awards,Criterion Channel|Theatrical,8.5,74,migration|city life|love,international
The Godfather,1972,United States,English,Crime|Drama,Francis Ford Coppola,Marlon Brando|Al Pacino|James Caan,Academy Awards|Golden Globe,Theatrical|Paramount+,9.2,95,family|power|crime,classic
Star Wars: A New Hope,1977,United States,English,Sci-Fi|Adventure,George Lucas,Mark Hamill|Carrie Fisher|Harrison Ford,Academy Awards,Theatrical|Disney+,8.6,99,myth|rebellion|space,franchise
Jaws,1975,United States,English,Thriller|Adventure,Steven Spielberg,Roy Scheider|Richard Dreyfuss|Robert Shaw,Academy Awards,Theatrical|Peacock,8.1,93,fear|community|survival,classic
Taxi Driver,1976,United States,English,Drama|Crime,Martin Scorsese,Robert De Niro|Jodie Foster|Harvey Keitel,Cannes Palme d'Or nomination,Theatrical|Criterion Channel,8.2,88,alienation|urban decay|violence,classic
The Killer,1989,Hong Kong,Cantonese,Action|Crime|Neo-noir,John Woo,Chow Yun-fat|Danny Lee|Sally Yeh,Hong Kong Film Awards,Theatrical|Criterion Channel,7.8,69,loyalty|sacrifice|stylized violence,international
Eat Drink Man Woman,1994,Taiwan,Mandarin,Drama|Family,Ang Lee,Sihung Lung|Yang Kuei-mei|Chien-lien Wu,Academy Awards nomination,Theatrical|Criterion Channel,7.9,68,family|food|generational change,international
"Crouching Tiger, Hidden Dragon",2000,Taiwan/China/Hong Kong,Mandarin,Action|Romance|Fantasy,Ang Lee,Michelle Yeoh|Chow Yun-fat|Zhang Ziyi,Academy Awards|BAFTA|Golden Globe,Theatrical|Netflix,7.8,96,discipline|desire|freedom,cross-cultural
Hero,2002,China,Mandarin,Action|Historical|Martial Arts,Zhang Yimou,Jet Li|Tony Leung Chiu-wai|Maggie Cheung|Zhang Ziyi,Academy Awards nomination,Theatrical|MUBI,7.9,90,sacrifice|state|artistry,cross-cultural
House of Flying Daggers,2004,China,Mandarin,Romance|Action|Martial Arts,Zhang Yimou,Zhang Ziyi|Andy Lau|Takeshi Kaneshiro,BAFTA nomination,Theatrical|MUBI,7.6,78,betrayal|love|spectacle,international
The Grandmaster,2013,Hong Kong/China,Cantonese/Mandarin,Martial Arts|Drama,Wong Kar-wai,Tony Leung Chiu-wai|Zhang Ziyi|Zhang Jin,Academy Awards nomination,Theatrical|Criterion Channel,6.6,72,mastery|lineage|discipline,international
The Wild Goose Lake,2019,China,Mandarin,Crime|Noir,Diao Yinan,Hu Ge|Gwei Lun-mei,Cannes Competition,Theatrical|MUBI,6.8,58,crime|pursuit|urban survival,festival
