name,country_or_region,primary_role,gender,active_decades,known_for,international_recognition_score,genre_diversity_score,award_score,collaboration_score,cross_market_score,profile_notes
Zhang Yimou,China,Director,M,1980s|1990s|2000s|2010s|2020s,Red Sorghum|Hero,92,54,42,45,38,auteur|festival|bridge
Chen Kaige,China,Director,M,1980s|1990s|2000s|2010s,Farewell My Concubine|The Promise,63,54,42,45,38,auteur|festival
Wong Kar-wai,Hong Kong,Director,M,1980s|1990s|2000s|2010s,In the Mood for Love|The Grandmaster,92,54,42,45,50,auteur|festival|bridge
Ang Lee,Taiwan,Director,M,1990s|2000s|2010s|2020s,"Crouching Tiger, Hidden Dragon|Life of Pi",92,54,42,45,50,bridge|award|global
Jia Zhangke,China,Director,M,1990s|2000s|2010s|2020s,Still Life|A Touch of Sin,63,54,42,45,38,auteur|festival
Feng Xiaogang,China,Director,M,1990s|2000s|2010s|2020s,Aftershock|Back to 1942,63,54,42,45,38,mainstream|award
Jiang Wen,China,Director,M,1990s|2000s|2010s,Let the Bullets Fly|The Hidden Man,63,54,42,45,38,auteur|actor|bridge
Lou Ye,China,Director,M,2000s|2010s|2020s,Suzhou River|Summer Palace,63,54,42,45,38,festival|auteur
Bi Gan,China,Director,M,2010s|2020s,Long Day's Journey into Night|Kaili Blues,63,54,42,45,38,festival|auteur
Peter Chan,Hong Kong,Director,M,1990s|2000s|2010s|2020s,Comrades: Almost a Love Story|Dearest,63,54,42,45,50,bridge|award
Ann Hui,Hong Kong,Director,F,1980s|1990s|2000s|2010s|2020s,A Simple Life|The Golden Era,63,54,42,45,50,award|auteur
Stephen Chow,Hong Kong,Director,M,1990s|2000s|2010s,Kung Fu Hustle|The Mermaid,63,54,42,45,50,comedy|star|bridge
John Woo,Hong Kong,Director,M,1980s|1990s|2000s|2010s,The Killer|Red Cliff,63,54,42,45,50,bridge|action
Tsui Hark,Hong Kong,Director,M,1980s|1990s|2000s|2010s,Once Upon a Time in China|Detective Dee and the Mystery of the Phantom Flame,63,54,42,45,50,action|bridge
Guo Fan,China,Director,M,2010s|2020s,The Wandering Earth|The Wandering Earth II,63,54,42,45,38,sci-fi|mainstream
Frant Gwo,China,Director,M,2010s|2020s,The Wandering Earth|The Wandering Earth II,63,54,42,45,38,sci-fi|mainstream
Ning Hao,China,Director,M,2000s|2010s|2020s,Crazy Stone|Crazy Alien,63,54,42,45,38,mainstream|satire
Diao Yinan,China,Director,M,2000s|2010s,"Black Coal, Thin Ice|The Wild Goose Lake",63,54,42,45,38,festival|neo-noir
Xu Zheng,China,Director,M,2010s|2020s,Lost in Thailand|Pegasus,63,54,42,45,38,mainstream|comedy|actor
Chen Sicheng,China,Director,M,2010s|2020s,Detective Chinatown|Detective Chinatown 2,63,54,42,45,38,commercial|mystery
Derek Tsang,Hong Kong,Director,M,2010s|2020s,Better Days,63,54,42,45,50,festival|youth
Jia Ling,China,Director,F,2020s,"Hi, Mom",63,54,42,45,38,comedy|emotion|actor
Dante Lam,Hong Kong,Director,M,2000s|2010s|2020s,Operation Red Sea|The Battle at Lake Changjin,63,54,42,45,50,action|mainstream
Jiaozi,China,Director,M,2010s|2020s,Ne Zha,63,54,42,45,38,animation|mainstream
Lee Isaac Chung,United States,Director,M,2000s|2010s|2020s,Minari,63,54,42,45,38,bridge|family
Lulu Wang,United States,Director,F,2010s|2020s,The Farewell,63,54,42,45,38,bridge|family
Daniel Kwan,United States,Director,M,2010s|2020s,Everything Everywhere All at Once,63,54,42,45,38,bridge|multiverse
Daniel Scheinert,United States,Director,M,2010s|2020s,Everything Everywhere All at Once,63,54,42,45,38,bridge|multiverse
Niki Caro,New Zealand,Director,F,2000s|2010s|2020s,Mulan,63,54,42,45,38,bridge|studio
Steven Spielberg,United States,Director,M,1970s|1980s|1990s|2000s|2010s|2020s,Jaws|Schindler's List,92,54,42,45,38,mainstream|award|legend
Martin Scorsese,United States,Director,M,1970s|1980s|1990s|2000s|2010s|2020s,Goodfellas|The Irishman,92,54,42,45,38,auteur|award|legend
Christopher Nolan,United States,Director,M,1990s|2000s|2010s|2020s,Inception|Oppenheimer,92,54,42,45,38,prestige|global
Quentin Tarantino,United States,Director,M,1990s|2000s|2010s|2020s,Pulp Fiction|Once Upon a Time in Hollywood,92,54,42,45,38,auteur|prestige
Greta Gerwig,United States,Director,F,2010s|2020s,Lady Bird|Barbie,92,54,42,45,38,voice|cultural
Sofia Coppola,United States,Director,F,1990s|2000s|2010s|2020s,Lost in Translation|Marie Antoinette,63,54,42,45,38,auteur|festival
Kathryn Bigelow,United States,Director,F,1980s|1990s|2000s|2010s,The Hurt Locker|Zero Dark Thirty,63,54,42,45,38,award|thriller
Jordan Peele,United States,Director,M,2010s|2020s,Get Out|Nope,92,54,42,45,38,horror|cultural
Ryan Coogler,United States,Director,M,2010s|2020s,Black Panther|Creed,63,54,42,45,38,franchise|cultural
James Cameron,United States,Director,M,1980s|1990s|2000s|2010s|2020s,Titanic|Avatar,92,54,42,45,38,blockbuster|global
David Fincher,United States,Director,M,1990s|2000s|2010s|2020s,The Social Network|Gone Girl,63,54,42,45,38,prestige|thriller
Wes Anderson,United States,Director,M,1990s|2000s|2010s|2020s,The Grand Budapest Hotel|Asteroid City,63,54,42,45,38,style|festival
Denis Villeneuve,Canada,Director,M,2000s|2010s|2020s,Arrival|Dune,63,54,42,45,50,sci-fi|prestige
Damien Chazelle,United States,Director,M,2010s|2020s,La La Land|Whiplash,63,54,42,45,38,music|prestige
Barry Jenkins,United States,Director,M,2010s|2020s,Moonlight|If Beale Street Could Talk,63,54,42,45,38,prestige|award
Spike Lee,United States,Director,M,1980s|1990s|2000s|2010s|2020s,Do the Right Thing|BlacKkKlansman,92,54,42,45,38,cultural|prestige
Ridley Scott,United Kingdom,Director,M,1970s|1980s|1990s|2000s|2010s|2020s,Alien|Gladiator,63,54,42,45,50,epic|global
Francis Ford Coppola,United States,Director,M,1970s|1980s|1990s|2000s|2010s,The Godfather|Apocalypse Now,63,54,42,45,38,legend|award
George Lucas,United States,Director,M,1970s|1980s|1990s,Star Wars: A New Hope|American Graffiti,63,54,42,45,38,franchise|industry
Paul Thomas Anderson,United States,Director,M,1990s|2000s|2010s|2020s,There Will Be Blood|Licorice Pizza,63,54,42,45,38,auteur|prestige
Ari Aster,United States,Director,M,2010s|2020s,Hereditary|Midsommar,63,54,42,45,38,horror|auteur
Chloé Zhao,United States,Director,F,2010s|2020s,Nomadland|The Rider,92,54,42,45,38,bridge|award|global
Jon M. Chu,United States,Director,M,2000s|2010s|2020s,Crazy Rich Asians|In the Heights,63,54,42,45,38,bridge|studio
Lee Daniels,United States,Director,M,2000s|2010s|2020s,Precious|The Butler,63,54,42,45,38,award|cultural
Nora Ephron,United States,Director,F,1990s|2000s,Sleepless in Seattle|Julie & Julia,63,54,42,45,38,romance|writer
Ava DuVernay,United States,Director,F,2010s|2020s,Selma|When They See Us,63,54,42,45,38,award|cultural
Gong Li,China,Actress,F,1980s|1990s|2000s|2010s|2020s,Red Sorghum|Raise the Red Lantern,58,51,42,45,38,award|festival|bridge
Zhang Ziyi,China,Actress,F,1990s|2000s|2010s|2020s,"Crouching Tiger, Hidden Dragon|Hero",58,51,42,45,38,bridge|global|award
Maggie Cheung,Hong Kong,Actress,F,1980s|1990s|2000s,In the Mood for Love|Clean,58,51,42,45,50,auteur|festival|bridge
Tony Leung Chiu-wai,Hong Kong,Actor,M,1980s|1990s|2000s|2010s|2020s,In the Mood for Love|Hero,58,51,42,45,50,bridge|award|global
Andy Lau,Hong Kong,Actor,M,1980s|1990s|2000s|2010s|2020s,House of Flying Daggers|A Simple Life,58,51,42,45,50,star|bridge
Jackie Chan,Hong Kong,Actor,M,1970s|1980s|1990s|2000s|2010s|2020s,Project A|Police Story,58,51,42,45,50,action|global|bridge
Jet Li,China,Actor,M,1980s|1990s|2000s|2010s,Hero|The Warlords,58,51,42,45,38,action|global|bridge
Donnie Yen,Hong Kong,Actor,M,1990s|2000s|2010s|2020s,Ip Man|Mulan,58,51,42,45,50,action|bridge
Chow Yun-fat,Hong Kong,Actor,M,1980s|1990s|2000s|2010s|2020s,"The Killer|Crouching Tiger, Hidden Dragon",58,51,42,45,50,legend|bridge
Zhou Xun,China,Actress,F,1990s|2000s|2010s|2020s,Suzhou River|The Legend of Hei,58,51,42,45,38,festival|global
Fan Bingbing,China,Actress,F,1990s|2000s|2010s|2020s,Cell Phone|The Warlords,58,51,42,45,38,star|festival
Liu Yifei,China,Actress,F,2000s|2010s|2020s,Mulan|The Four,58,51,42,45,38,bridge|global
Tang Wei,China,Actress,F,2000s|2010s|2020s,Long Day's Journey into Night|Decision to Leave,58,51,42,45,38,festival|bridge
Zhao Tao,China,Actress,F,2000s|2010s|2020s,Still Life|Ash Is Purest White,58,51,42,45,38,auteur|festival
Ge You,China,Actor,M,1980s|1990s|2000s|2010s|2020s,Let the Bullets Fly|To Live,58,51,42,45,38,star|award
Huang Bo,China,Actor,M,2000s|2010s|2020s,Crazy Stone|Crazy Alien,58,51,42,45,38,star|comedy
Wang Baoqiang,China,Actor,M,2000s|2010s|2020s,A Touch of Sin|Detective Chinatown 2,58,51,42,45,38,star|comedy
Shen Teng,China,Actor,M,2010s|2020s,"Hi, Mom|Full River Red",58,51,42,45,38,comedy|mainstream
Wu Jing,China,Actor,M,2000s|2010s|2020s,The Wandering Earth|The Battle at Lake Changjin,58,51,42,45,38,action|mainstream
Jackson Yee,China,Actor,M,2010s|2020s,Better Days|Full River Red,58,51,42,45,38,youth|bridge
Lei Jiayin,China,Actor,M,2010s|2020s,Full River Red|Article 20,58,51,42,45,38,drama|mainstream
Ma Li,China,Actress,F,2010s|2020s,"Hi, Mom",58,51,42,45,38,comedy|mainstream
Ni Ni,China,Actress,F,2010s|2020s,The Flowers of War|Lost in the Stars,58,51,42,45,38,drama|fashion
Shu Qi,Taiwan,Actress,F,1990s|2000s|2010s|2020s,Millennium Mambo|The Assassin,58,51,42,45,50,auteur|bridge
