film_title,platform,release_mode,region,note
Red Sorghum,Theatrical,Demo availability,China,domestic
Red Sorghum,Criterion Channel,Demo availability,China,domestic
Raise the Red Lantern,Theatrical,Demo availability,China,festival
Raise the Red Lantern,Criterion Channel,Demo availability,China,festival
The Story of Qiu Ju,Theatrical,Demo availability,China,festival
The Story of Qiu Ju,Criterion Channel,Demo availability,China,festival
Farewell My Concubine,Theatrical,Demo availability,China,international
Farewell My Concubine,MUBI,Demo availability,China,international
Chungking Express,Criterion Channel,Demo availability,Hong Kong,international
Chungking Express,Theatrical,Demo availability,Hong Kong,international
In the Heat of the Sun,Theatrical,Demo availability,China,domestic
In the Heat of the Sun,iQiyi,Demo availability,China,domestic
Comrades: Almost a Love Story,Criterion Channel,Demo availability,Hong Kong,international
Comrades: Almost a Love Story,Theatrical,Demo availability,Hong Kong,international
The Godfather,Theatrical,Demo availability,United States,classic
The Godfather,Paramount+,Demo availability,United States,classic
Star Wars: A New Hope,Theatrical,Demo availability,United States,franchise
Star Wars: A New Hope,Disney+,Demo availability,United States,franchise
Jaws,Theatrical,Demo availability,United States,classic
Jaws,Peacock,Demo availability,United States,classic
Taxi Driver,Theatrical,Demo availability,United States,classic
Taxi Driver,Criterion Channel,Demo availability,United States,classic
The Killer,Theatrical,Demo availability,Hong Kong,international
The Killer,Criterion Channel,Demo availability,Hong Kong,international
Eat Drink Man Woman,Theatrical,Demo availability,Taiwan,international
Eat Drink Man Woman,Criterion Channel,Demo availability,Taiwan,international
"Crouching Tiger, Hidden Dragon",Theatrical,Demo availability,Taiwan/China/Hong Kong,cross-cultural
"Crouching Tiger, Hidden Dragon",Netflix,Demo availability,Taiwan/China/Hong Kong,cross-cultural
Hero,Theatrical,Demo availability,China,cross-cultural
Hero,MUBI,Demo availability,China,cross-cultural
House of Flying Daggers,Theatrical,Demo availability,China,international
House of Flying Daggers,MUBI,Demo availability,China,international
The Grandmaster,Theatrical,Demo availability,Hong Kong/China,international
The Grandmaster,Criterion Channel,Demo availability,Hong Kong/China,international
The Wild Goose Lake,Theatrical,Demo availability,China,festival
The Wild Goose Lake,MUBI,Demo availability,China,festival
Still Life,Theatrical,Demo availability,China,festival
Still Life,Criterion Channel,Demo availability,China,festival
A Touch of Sin,Theatrical,Demo availability,China,festival
A Touch of Sin,MUBI,Demo availability,China,festival
