entity_type,entity_name,source_type,source_title,source_url
award,Academy Awards,Official awards database,Academy Awards,https://awardsdatabase.oscars.org/
award,BAFTA,Official awards database,BAFTA,https://www.bafta.org/awards/database
award,Berlin Golden Bear,Official festival award page,Berlinale,https://www.berlinale.de/en/
award,Cannes Best Screenplay,Official festival award page,Cannes awards,https://www.festival-cannes.com/en/
award,Cannes Competition,Official festival page,Cannes,https://www.festival-cannes.com/en/
award,Cannes Palme d'Or,Official festival award page,Cannes awards,https://www.festival-cannes.com/en/
award,Golden Globe,Official awards database,Golden Globe,https://goldenglobes.com/awards-database/
award,Golden Horse Awards,Official awards site,Golden Horse Awards,https://www.goldenhorse.org.tw/awards/?lang=en
award,Golden Trailer Awards,Official awards site,Golden Trailer Awards,https://goldentrailer.com/
award,Hong Kong Film Awards,Official awards site,Hong Kong Film Awards,https://www.hkfaa.com/winnerlist.html
award,Saturn Awards,Official awards site,Saturn Awards,https://www.saturnawards.org/
award,Venice Golden Lion,Official festival award page,Venice Biennale,https://www.labiennale.org/en/cinema
film,A Sample Slate for a Pan-Asian Thriller,Wikipedia,A Sample Slate for a Pan-Asian Thriller,https://en.wikipedia.org/wiki/A_Sample_Slate_for_a_Pan-Asian_Thriller
film,A Sample Slate for Awards-Season Ensemble Drama,Wikipedia,A Sample Slate for Awards-Season Ensemble Drama,https://en.wikipedia.org/wiki/A_Sample_Slate_for_Awards-Season_Ensemble_Drama
film,A Sample Slate for Festival Romance,Wikipedia,A Sample Slate for Festival Romance,https://en.wikipedia.org/wiki/A_Sample_Slate_for_Festival_Romance
film,A Sample Slate for Franchise Action,Wikipedia,A Sample Slate for Franchise Action,https://en.wikipedia.org/wiki/A_Sample_Slate_for_Franchise_Action
film,A Sample Slate for Prestige Sci-Fi,Wikipedia,A Sample Slate for Prestige Sci-Fi,https://en.wikipedia.org/wiki/A_Sample_Slate_for_Prestige_Sci-Fi
film,A Sample Slate for Youth Culture Crime,Wikipedia,A Sample Slate for Youth Culture Crime,https://en.wikipedia.org/wiki/A_Sample_Slate_for_Youth_Culture_Crime
film,A Simple Life,Wikipedia,A Simple Life,https://en.wikipedia.org/wiki/A_Simple_Life
film,A Touch of Sin,Wikipedia,A Touch of Sin,https://en.wikipedia.org/wiki/A_Touch_of_Sin
film,Aftershock,Wikipedia,Aftershock,https://en.wikipedia.org/wiki/Aftershock_(2010_film)
film,Alien,Wikipedia,Alien,https://en.wikipedia.org/wiki/Alien
film,Aliens,Wikipedia,Aliens,https://en.wikipedia.org/wiki/Aliens
film,American Graffiti,Wikipedia,American Graffiti,https://en.wikipedia.org/wiki/American_Graffiti
film,Apocalypse Now,Wikipedia,Apocalypse Now,https://en.wikipedia.org/wiki/Apocalypse_Now
film,Arrival,Wikipedia,Arrival,https://en.wikipedia.org/wiki/Arrival
film,Ash Is Purest White,Wikipedia,Ash Is Purest White,https://en.wikipedia.org/wiki/Ash_Is_Purest_White
film,Asteroid City,Wikipedia,Asteroid City,https://en.wikipedia.org/wiki/Asteroid_City
film,Avatar,Wikipedia,Avatar,https://en.wikipedia.org/wiki/Avatar
film,Back to 1942,Wikipedia,Back to 1942,https://en.wikipedia.org/wiki/Back_to_1942
film,Barbie,Wikipedia,Barbie,https://en.wikipedia.org/wiki/Barbie
film,Beau Is Afraid,Wikipedia,Beau Is Afraid,https://en.wikipedia.org/wiki/Beau_Is_Afraid
film,Better Days,Wikipedia,Better Days,https://en.wikipedia.org/wiki/Better_Days
film,"Black Coal, Thin Ice",Wikipedia,"Black Coal, Thin Ice","https://en.wikipedia.org/wiki/Black_Coal,_Thin_Ice"
film,Black Panther,Wikipedia,Black Panther,https://en.wikipedia.org/wiki/Black_Panther_(film)
film,BlacKkKlansman,Wikipedia,BlacKkKlansman,https://en.wikipedia.org/wiki/BlacKkKlansman
film,Blade Runner 2049,Wikipedia,Blade Runner 2049,https://en.wikipedia.org/wiki/Blade_Runner_2049
film,Chungking Express,Wikipedia,Chungking Express,https://en.wikipedia.org/wiki/Chungking_Express
film,Comrades: Almost a Love Story,Wikipedia,Comrades: Almost a Love Story,https://en.wikipedia.org/wiki/Comrades%3A_Almost_a_Love_Story
film,Crazy Alien,Wikipedia,Crazy Alien,https://en.wikipedia.org/wiki/Crazy_Alien
film,Crazy Rich Asians,Wikipedia,Crazy Rich Asians,https://en.wikipedia.org/wiki/Crazy_Rich_Asians
film,Crazy Stone,Wikipedia,Crazy Stone,https://en.wikipedia.org/wiki/Crazy_Stone
film,Creed,Wikipedia,Creed,https://en.wikipedia.org/wiki/Creed
