film_title,person_name,role_type,billing_order
Red Sorghum,Zhang Yimou,Director,0
Red Sorghum,Gong Li,Actor/Actress,1
Raise the Red Lantern,Zhang Yimou,Director,0
Raise the Red Lantern,Gong Li,Actor/Actress,1
Raise the Red Lantern,He Caifei,Actor/Actress,2
The Story of Qiu Ju,Zhang Yimou,Director,0
The Story of Qiu Ju,Gong Li,Actor/Actress,1
Farewell My Concubine,Chen Kaige,Director,0
Farewell My Concubine,Leslie Cheung,Actor/Actress,1
Farewell My Concubine,Zhang Fengyi,Actor/Actress,2
Farewell My Concubine,Gong Li,Actor/Actress,3
Chungking Express,Wong Kar-wai,Director,0
Chungking Express,Brigitte Lin,Actor/Actress,1
Chungking Express,Takeshi Kaneshiro,Actor/Actress,2
Chungking Express,Faye Wong,Actor/Actress,3
Chungking Express,Tony Leung Chiu-wai,Actor/Actress,4
In the Heat of the Sun,Jiang Wen,Director,0
In the Heat of the Sun,Xia Yu,Actor/Actress,1
In the Heat of the Sun,Wang Xueqi,Actor/Actress,2
Comrades: Almost a Love Story,Peter Chan,Director,0
Comrades: Almost a Love Story,Maggie Cheung,Actor/Actress,1
Comrades: Almost a Love Story,Leon Lai,Actor/Actress,2
Comrades: Almost a Love Story,Eric Tsang,Actor/Actress,3
The Godfather,Francis Ford Coppola,Director,0
The Godfather,Marlon Brando,Actor/Actress,1
The Godfather,Al Pacino,Actor/Actress,2
The Godfather,James Caan,Actor/Actress,3
Star Wars: A New Hope,George Lucas,Director,0
Star Wars: A New Hope,Mark Hamill,Actor/Actress,1
Star Wars: A New Hope,Carrie Fisher,Actor/Actress,2
Star Wars: A New Hope,Harrison Ford,Actor/Actress,3
Jaws,Steven Spielberg,Director,0
Jaws,Roy Scheider,Actor/Actress,1
Jaws,Richard Dreyfuss,Actor/Actress,2
Jaws,Robert Shaw,Actor/Actress,3
Taxi Driver,Martin Scorsese,Director,0
Taxi Driver,Robert De Niro,Actor/Actress,1
Taxi Driver,Jodie Foster,Actor/Actress,2
Taxi Driver,Harvey Keitel,Actor/Actress,3
The Killer,John Woo,Director,0
The Killer,Chow Yun-fat,Actor/Actress,1
The Killer,Danny Lee,Actor/Actress,2
The Killer,Sally Yeh,Actor/Actress,3
Eat Drink Man Woman,Ang Lee,Director,0
Eat Drink Man Woman,Sihung Lung,Actor/Actress,1
Eat Drink Man Woman,Yang Kuei-mei,Actor/Actress,2
Eat Drink Man Woman,Chien-lien Wu,Actor/Actress,3
